Mão,Sinal Real,CNN Básica (Letra),CNN Básica (%),Transfer Learning (Letra),Transfer Learning (%),MLP (Letra),MLP (%),SVM (Letra),SVM (%),Random Forest (Letra),Random Forest (%)
Direita,A,T,100,B,99.9,A,99.9,A,86.8,A,82
Direita,B,Y,100,B,97.1,B,100,B,97.4,B,78
Direita,C,F,100,P,60.9,C,100,C,98.9,C,55
Direita,D,F,100,B,99.6,D,82.1,D,93.6,D,82
Direita,E,T,100,E,86.9,E,99.4,E,27.2,E,44
Direita,F,Y,100,F,100,T,59.4,T,99.3,F,49
Direita,G,Y,100,B,95.4,G,100,G,96,G,62
Direita,I,Y,100,B,63.7,I,100,I,98.7,I,79
Direita,L,Y,100,F,100,D,99.9,L,86.9,L,32
Direita,M,Y,100,M,96.9,M,100,M,99.9,M,100
Direita,N,W,100,M,81,N,100,N,99.8,N,90
Direita,O,M,100,O,99.9,O,100,O,99.8,O,99
Direita,P,V,100,P,97.9,P,99.9,P,97.9,P,87
Direita,Q,O,100,P,97.1,Q,100,Q,99.8,Q,79
Direita,R,F,100,B,99.4,R,99.9,R,91.9,R,37
Direita,S,F,100,B,100,S,99.9,S,98.4,S,87
Direita,T,Y,100,B,82,T,100,T,100,T,59
Direita,U,F,100,B,98.2,U,97.7,R,93.8,R,79
Direita,V,Y,100,F,99.9,V,93.7,R,48.4,V,50
Direita,W,W,100,W,99.2,W,86.5,W,71.6,W,53
Direita,Y,Y,100,F,97.5,D,88.6,O,66.8,Y,54
Esquerda,A,F,100,M,65.4,I,99.9,I,41,A,77
Esquerda,B,F,100,B,88.8,B,100,B,86.9,B,66
Esquerda,C,O,100,C,99.2,C,100,C,82.2,C,50
Esquerda,D,F,100,F,99.6,D,80.1,D,96.1,D,87
Esquerda,E,F,100,F,49.3,0,30.6,B,76.1,E,36
Esquerda,F,Y,100,F,54.9,F,80.4,F,87.1,F,29
Esquerda,G,F,100,F,95.4,G,66.7,D,85,G,47
Esquerda,I,F,100,M,97.1,I,100,I,99.2,I,83
Esquerda,L,F,100,F,100,L,90.4,D,58.5,L,47
Esquerda,M,F,100,M,100,M,100,M,99.4,M,98
Esquerda,N,F,100,M,100,N,100,N,99.7,N,96
Esquerda,O,Y,100,O,93.2,O,100,O,91,O,82
Esquerda,P,Y,100,P,98.7,P,100,P,99.2,P,73
Esquerda,Q,Y,100,M,100,Q,99.6,Q,67.7,Q,92
Esquerda,R,F,100,F,98.3,R,100,R,79.2,R,66
Esquerda,S,F,100,B,76.7,S,76.2,S,45.1,S,76
Esquerda,T,F,100,F,63.8,T,94.5,T,52.8,T,60
Esquerda,U,Y,100,B,89.5,R,99.6,R,99.5,U,45
Esquerda,V,F,100,F,93.7,R,99.8,R,99.1,V,45
Esquerda,W,F,100,W,91.2,W,99.3,W,97.9,W,46
Esquerda,Y,Y,100,F,99.7,T,96.6,I,35.4,Y,64
